pais,estado_provincia,continente
Guyana,Upper Takutu-Upper Essequibo,SOUTH_AMERICA
Suriname,Brokopondo,SOUTH_AMERICA
Brazil,São Paulo,SOUTH_AMERICA
Bolivia (Plurinational State of),Beni,SOUTH_AMERICA
Paraguay,Misiones,SOUTH_AMERICA
Argentina,Chaco,SOUTH_AMERICA
Paraguay,Cordillera,SOUTH_AMERICA
Paraguay,Itapúa,SOUTH_AMERICA
Bolivia (Plurinational State of),Santa Cruz,SOUTH_AMERICA
Brazil,Alagoas,SOUTH_AMERICA
Brazil,Sergipe,SOUTH_AMERICA
Brazil,Pernambuco,SOUTH_AMERICA
United States of America,Maryland,NORTH_AMERICA
Israel,Haifa,ASIA
Spain,Región de Murcia,EUROPE
Spain,Región de Murcia,
United States of America,North Carolina,NORTH_AMERICA
Spain,Islas Canarias,
Spain,Comunidad Valenciana,EUROPE
Spain,Cataluña,EUROPE
Israel,,ASIA
Spain,Comunidad Valenciana,
Spain,Islas Baleares,EUROPE
United States of America,New Jersey,NORTH_AMERICA
United States of America,Virginia,NORTH_AMERICA
Israel,Haifa,
United States of America,North Carolina,
United States of America,Florida,NORTH_AMERICA
Brazil,Ba,
Brazil,Tocantins,SOUTH_AMERICA
Brazil,Pernambuco,
Ecuador,Zamora Chinchipe,SOUTH_AMERICA
Ecuador,Pastaza,SOUTH_AMERICA
Brazil,Rio Grande do Norte,SOUTH_AMERICA
Falkland Islands (Malvinas),,
South Georgia and the South Sandwich Islands,,
Antarctica,,
Argentina,,
French Southern Territories,Îles Crozet,ANTARCTICA
South Georgia and the South Sandwich Islands,,ANTARCTICA
Chile,,
Australia,Western Australia,OCEANIA
Australia,,OCEANIA
South Africa,,ANTARCTICA
South Africa,,
Falkland Islands (Malvinas),,SOUTH_AMERICA
French Southern Territories,Kerguelen,ANTARCTICA
Puerto Rico,Rincón,NORTH_AMERICA
Virgin Islands (U.S.),Saint John,NORTH_AMERICA
Guadeloupe,Basse-Terre,NORTH_AMERICA
Honduras,Islas de la Bahía,NORTH_AMERICA
Guadeloupe,Pointe-à-Pitre,NORTH_AMERICA
Martinique,Le Marin,NORTH_AMERICA
Curaçao,,SOUTH_AMERICA
Mexico,Quintana Roo,NORTH_AMERICA
Jamaica,Saint Ann,NORTH_AMERICA
Saint Vincent and the Grenadines,Grenadines,NORTH_AMERICA
"Bonaire, Sint Eustatius and Saba",Bonaire,SOUTH_AMERICA
Virgin Islands (U.S.),Saint Thomas,NORTH_AMERICA
Saint Vincent and the Grenadines,Grenadines,
Puerto Rico,Guánica,NORTH_AMERICA
Dominican Republic,La Altagracia,NORTH_AMERICA
Aruba,,SOUTH_AMERICA
Virgin Islands (U.S.),St. John,NORTH_AMERICA
Saint Lucia,Canaries,NORTH_AMERICA
Puerto Rico,Lajas,NORTH_AMERICA
Grenada,Saint George,NORTH_AMERICA
Cuba,Holguín,NORTH_AMERICA
Puerto Rico,Culebra,NORTH_AMERICA
Martinique,Saint-Pierre,NORTH_AMERICA
"Bonaire, Sint Eustatius and Saba",Saba,NORTH_AMERICA
Saint Lucia,Gros Islet,NORTH_AMERICA
Cayman Islands,George Town,NORTH_AMERICA
Dominica,Saint Luke,NORTH_AMERICA
Virgin Islands (U.S.),St. Croix,NORTH_AMERICA
Grenada,Carriacou,NORTH_AMERICA
Cayman Islands,Cayman Brac,NORTH_AMERICA
United States of America,,
Bahamas,New Providence,NORTH_AMERICA
Belize,Stann Creek,NORTH_AMERICA
Antigua and Barbuda,Saint Paul,NORTH_AMERICA
Cuba,Camagüey,NORTH_AMERICA
Saint Vincent and the Grenadines,Saint George,NORTH_AMERICA
Brazil,Rondônia,SOUTH_AMERICA
Iceland,Pará,SOUTH_AMERICA
Iceland,Minas Gerais,SOUTH_AMERICA
"Bonaire, Sint Eustatius and Saba",Bonaire,
Trinidad and Tobago,Diego Martin,SOUTH_AMERICA
Puerto Rico,Fajardo,NORTH_AMERICA
Bahamas,East Grand Bahama,NORTH_AMERICA
Panama,Bocas del Toro,NORTH_AMERICA
Cayman Islands,West Bay,NORTH_AMERICA
Mexico,Quintana Roo,
Honduras,Islas de la Bahía,
Cayman Islands,West Bay,
Trinidad and Tobago,Mayaro/Rio Claro,SOUTH_AMERICA
Turks and Caicos Islands,South Caicos and East Caicos,NORTH_AMERICA
Bahamas,,
United States of America,,NORTH_AMERICA
Turks and Caicos Islands,Providenciales and West Caicos,NORTH_AMERICA
Bahamas,New Providence,
Cuba,Camagüey,
Bahamas,North Andros,NORTH_AMERICA
Bahamas,West Grand Bahama,NORTH_AMERICA
Honduras,Cortés,NORTH_AMERICA
Belize,Corozal,NORTH_AMERICA
Turks and Caicos Islands,,NORTH_AMERICA
Côte d’Ivoire,Abidjan,AFRICA
Bahamas,South Eleuthera,NORTH_AMERICA
Bahamas,Hope Town,NORTH_AMERICA
United States of America,Florida,
Colombia,La Guajira,SOUTH_AMERICA
Brazil,,SOUTH_AMERICA
Brazil,Piauí,SOUTH_AMERICA
Brazil,Piaui,SOUTH_AMERICA
Mexico,Veracruz,NORTH_AMERICA
Jamaica,Saint Elizabeth,NORTH_AMERICA
French Guiana,,
Colombia,La Guajira,
Trinidad and Tobago,Couva-Tabaquite-Talparo,
Trinidad and Tobago,San Juan-Laventille,SOUTH_AMERICA
Mexico,Campeche,NORTH_AMERICA
Trinidad and Tobago,Couva-Tabaquite-Talparo,SOUTH_AMERICA
Trinidad and Tobago,,
Mexico,Tamaulipas,NORTH_AMERICA
Brazil,Amapá,
Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina",
Colombia,Magdalena,
Brazil,Estado de Sao Paulo,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),,SOUTH_AMERICA
Brazil,Paraíba,SOUTH_AMERICA
Colombia,,SOUTH_AMERICA
Colombia,,
Venezuela (Bolivarian Republic of),Nueva Esparta,SOUTH_AMERICA
Puerto Rico,San Juan,NORTH_AMERICA
Brazil,Amapa,
Brazil,Maranhão,
Brazil,Para,
Guyana,,
Sweden,Västra Götaland,EUROPE
Sao Tome and Principe,São Tomé,AFRICA
Germany,Thüringen,EUROPE
Brazil,Sao Paulo,SOUTH_AMERICA
"Saint Helena, Ascension and Tristan da Cunha",Rondônia,SOUTH_AMERICA
Colombia,Bolívar,SOUTH_AMERICA
Brazil,Espírito Santo,
Dominican Republic,Monte Cristi,NORTH_AMERICA
Cayman Islands,East End,NORTH_AMERICA
Colombia,San Andrés y Providencia,NORTH_AMERICA
Cuba,Pinar del Río,NORTH_AMERICA
Belize,Belize,NORTH_AMERICA
Cayman Islands,North Side,NORTH_AMERICA
Martinique,Fort-de-France,NORTH_AMERICA
Jamaica,Hanover,NORTH_AMERICA
Bermuda,Saint George's,NORTH_AMERICA
Virgin Islands (U.S.),St. Thomas,NORTH_AMERICA
Panama,Kuna Yala,NORTH_AMERICA
Brazil,Distrito Federal,SOUTH_AMERICA
Paraguay,Asunción,SOUTH_AMERICA
Paraguay,Alto Paraguay,SOUTH_AMERICA
Paraguay,Boquerón,SOUTH_AMERICA
Paraguay,Presidente Hayes,SOUTH_AMERICA
Bolivia (Plurinational State of),Alto Paraguay,SOUTH_AMERICA
Paraguay,Caaguazú,SOUTH_AMERICA
Paraguay,Alto Paraná,SOUTH_AMERICA
Ecuador,Esmeraldas,SOUTH_AMERICA
Uruguay,Rocha,SOUTH_AMERICA
Argentina,Buenos Aires,
Argentina,Río Negro,SOUTH_AMERICA
Uruguay,,
Argentina,,SOUTH_AMERICA
South Africa,Eastern Cape,AFRICA
New Caledonia,Nord,OCEANIA
Australia,New South Wales,OCEANIA
Australia,Western Australia,
Puerto Rico,Isabela,NORTH_AMERICA
Portugal,Madeira,AFRICA
Portugal,Madeira,EUROPE
Portugal,Azores,EUROPE
Martinique,Le Trinité,NORTH_AMERICA
Portugal,Azores,
United States of America,Massachusetts,NORTH_AMERICA
"Tanzania, United Republic of",Tanga,AFRICA
United Kingdom of Great Britain and Northern Ireland,England,EUROPE
United States of America,Illinois,NORTH_AMERICA
Puerto Rico,Arecibo,NORTH_AMERICA
Hong Kong,Islands,ASIA
China,Fujian,ASIA
China,Guangdong,ASIA
United States of America,Massachusetts,
Portugal,Madeira,
France,Bretagne,EUROPE
United States of America,New York,NORTH_AMERICA
Bahamas,Crooked Island,NORTH_AMERICA
Ireland,Dublin,EUROPE
United States of America,New Hampshire,NORTH_AMERICA
Ecuador,Sucumbios,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Vichada,SOUTH_AMERICA
Ecuador,Napo,SOUTH_AMERICA
Brazil,Roraima,SOUTH_AMERICA
Canada,,NORTH_AMERICA
Canada,,
Argentina,La Pampa,SOUTH_AMERICA
Argentina,San Luis,SOUTH_AMERICA
Argentina,Córdoba,SOUTH_AMERICA
Uruguay,Flores,SOUTH_AMERICA
Uruguay,Montevideo,SOUTH_AMERICA
Uruguay,Florida,SOUTH_AMERICA
Uruguay,Maldonado,SOUTH_AMERICA
Uruguay,Tacuarembó,SOUTH_AMERICA
Brazil,Misiones,SOUTH_AMERICA
Guatemala,Petén,NORTH_AMERICA
Ecuador,Pichincha,SOUTH_AMERICA
Colombia,Caldas,SOUTH_AMERICA
Argentina,Jujuy,SOUTH_AMERICA
Colombia,Cundinamarca,SOUTH_AMERICA
Colombia,Risaralda,SOUTH_AMERICA
Peru,Madre de Dios,SOUTH_AMERICA
Paraguay,Concepción,SOUTH_AMERICA
Honduras,Intibucá,NORTH_AMERICA
Colombia,Cesar,SOUTH_AMERICA
Mexico,Chiapas,NORTH_AMERICA
Argentina,Catamarca,SOUTH_AMERICA
Argentina,Salta,SOUTH_AMERICA
Jersey,Saint Martin,EUROPE
Jersey,,EUROPE
Uruguay,,SOUTH_AMERICA
Brazil,Rio Grande do Sul,
Costa Rica,Puntarenas,
Brazil,Rio Grande do Norte,
United States of America,,OCEANIA
United States of America,Hawaii,
United States of America,Hawaii,OCEANIA
Mexico,Colima,NORTH_AMERICA
Mexico,Colima,
Argentina,Chubut,SOUTH_AMERICA
Argentina,Tierra del Fuego,SOUTH_AMERICA
Uruguay,Canelones,SOUTH_AMERICA
Uruguay,San José,SOUTH_AMERICA
New Zealand,Southern Islands,OCEANIA
New Zealand,Southland,OCEANIA
New Zealand,Canterbury,OCEANIA
New Zealand,Otago,OCEANIA
New Zealand,,OCEANIA
New Zealand,,
Chile,Magallanes y Antártica Chilena,
Australia,Tasmania,OCEANIA
Brazil,Pará,
Brazil,Amazonas,
Nicaragua,Río San Juan,SOUTH_AMERICA
Puerto Rico,Maunabo,NORTH_AMERICA
United States of America,California,NORTH_AMERICA
Puerto Rico,Loíza,NORTH_AMERICA
United States of America,Texas,NORTH_AMERICA
United States of America,Georgia,NORTH_AMERICA
United States of America,Louisiana,NORTH_AMERICA
Honduras,Atlántida,NORTH_AMERICA
Bahamas,North Eleuthera,NORTH_AMERICA
Mexico,Sinaloa,NORTH_AMERICA
Jamaica,Kingston,NORTH_AMERICA
United States of America,Mississippi,NORTH_AMERICA
Colombia,Chocó,SOUTH_AMERICA
Mexico,Yucatán,
Argentina,Paraná,SOUTH_AMERICA
Argentina,Misiones,
Brazil,Sao Paulo,
Greece,"Peloponnese, Western Greece and",EUROPE
Mozambique,Maputo,AFRICA
New Caledonia,Sud,OCEANIA
South Africa,Western Cape,
Australia,Queensland,OCEANIA
United States of America,Texas,
Spain,,
France,Poitou-Charentes,EUROPE
Italy,Campania,EUROPE
South Africa,KwaZulu-Natal,AFRICA
Italy,Emilia-Romagna,EUROPE
Albania,Durrës,EUROPE
Netherlands,Noord-Holland,EUROPE
Netherlands,Friesland,EUROPE
Greece,Aegean,ASIA
Oman,,ASIA
Oman,Dhofar,ASIA
Italy,Apulia,EUROPE
Mali,Timbuktu,AFRICA
Mali,,AFRICA
Oman,Al Wusta,ASIA
Türkiye,Izmir,ASIA
Spain,Las Palmas,
Israel,HaZafon,ASIA
Spain,Andalucía,EUROPE
Japan,Miyazaki,ASIA
Albania,Tiranë,EUROPE
Mali,Mopti,AFRICA
Maldives,,ASIA
Indonesia,Jawa Barat,ASIA
Thailand,Rayong,ASIA
United States of America,Alabama,NORTH_AMERICA
United States of America,South Carolina,NORTH_AMERICA
Honduras,Gracias a Dios,NORTH_AMERICA
Mexico,Yucatán,NORTH_AMERICA
Viet Nam,Bà Rịa - Vũng Tàu,ASIA
Mexico,Ca,
Mexico,Campeche,
Colombia,Antioquia,SOUTH_AMERICA
Mexico,Sonora,NORTH_AMERICA
unknown or invalid,,
Panama,Herrera,NORTH_AMERICA
Mexico,Baja california sur,NORTH_AMERICA
Venezuela (Bolivarian Republic of),,
Brazil,Ampa,
Guyana,Mahaica-Berbice,SOUTH_AMERICA
Suriname,Commewijne District,
Mexico,Oaxaca,NORTH_AMERICA
Honduras,Comayagua,NORTH_AMERICA
Costa Rica,San José,NORTH_AMERICA
Panama,Colón,NORTH_AMERICA
Nicaragua,Jinotega,NORTH_AMERICA
Colombia,Putumayo,SOUTH_AMERICA
Belize,Cayo,NORTH_AMERICA
Uruguay,Cerro Largo,SOUTH_AMERICA
Dominican Republic,,
Cuba,,
Grenada,Saint Patrick,NORTH_AMERICA
Grenada,,
Trinidad and Tobago,Tobago,SOUTH_AMERICA
Costa Rica,,
Costa Rica,Limón,
Guyana,Potaro-Siparuni,SOUTH_AMERICA
Guyana,Nickerie,SOUTH_AMERICA
Peru,Cusco,SOUTH_AMERICA
Guyana,Cuyuni-Mazaruni,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Amazonas,SOUTH_AMERICA
Chile,Coquimbo,SOUTH_AMERICA
Argentina,Mendoza,SOUTH_AMERICA
Chile,Magallanes y Antártica Chilena,SOUTH_AMERICA
Chile,Santiago Metropolitan,SOUTH_AMERICA
Chile,Valparaíso,SOUTH_AMERICA
Ecuador,Chimborazo,SOUTH_AMERICA
Argentina,Santa Cruz,SOUTH_AMERICA
Argentina,Neuquén,SOUTH_AMERICA
Peru,Puno,SOUTH_AMERICA
Ecuador,Imbabura,SOUTH_AMERICA
Chile,Libertador General Bernardo O'Hi,SOUTH_AMERICA
Bolivia (Plurinational State of),La Paz,SOUTH_AMERICA
Chile,Los Ríos,SOUTH_AMERICA
Chile,Los Lagos,SOUTH_AMERICA
Argentina,San Juan,SOUTH_AMERICA
Uruguay,Paysandú,SOUTH_AMERICA
Uruguay,Artigas,SOUTH_AMERICA
Uruguay,Rivera,SOUTH_AMERICA
Uruguay,Salto,SOUTH_AMERICA
Uruguay,Río Negro,SOUTH_AMERICA
Brazil,Rio de Janeiro State,SOUTH_AMERICA
Bahamas,Cat Island,NORTH_AMERICA
Egypt,Al Bahr al Ahmar,AFRICA
Egypt,,
Niue,,OCEANIA
Cayman Islands,,
French Polynesia,,
Egypt,,AFRICA
"Tanzania, United Republic of",Mtwara,AFRICA
Sudan,,AFRICA
Saudi Arabia,,
Cuba,Ciego de Ávila,NORTH_AMERICA
Venezuela (Bolivarian Republic of),Falcón,SOUTH_AMERICA
Saint Kitts and Nevis,Saint Thomas Lowland,NORTH_AMERICA
Cuba,Matanzas,NORTH_AMERICA
Cuba,Guantánamo,NORTH_AMERICA
Saint Kitts and Nevis,Saint John Figtree,NORTH_AMERICA
Bermuda,Devonshire,NORTH_AMERICA
Bermuda,Hamilton,NORTH_AMERICA
Bermuda,Smiths,NORTH_AMERICA
United States of America,Florida (FL),NORTH_AMERICA
Brazil,Itapúa,SOUTH_AMERICA
Colombia,Amazonas,SOUTH_AMERICA
Colombia,Loreto,SOUTH_AMERICA
Colombia,Meta,SOUTH_AMERICA
Peru,Ucayali,SOUTH_AMERICA
United States of America,Delaware,NORTH_AMERICA
United States of America,Rhode Island,NORTH_AMERICA
United States of America,New Jersey,
Brazil,Acre,SOUTH_AMERICA
Colombia,Arauca,SOUTH_AMERICA
Panama,Coclé,NORTH_AMERICA
Colombia,Magdalena,SOUTH_AMERICA
Colombia,Santander,SOUTH_AMERICA
Trinidad and Tobago,Sangre Grande,SOUTH_AMERICA
Trinidad and Tobago,,SOUTH_AMERICA
Trinidad and Tobago,Trinidad,
Cambodia,,
Mexico,Guerrero,NORTH_AMERICA
Panama,Panamá Oeste,NORTH_AMERICA
United States of America,Mississippi,
Senegal,,AFRICA
Mexico,Baja California Norte,NORTH_AMERICA
Mexico,Nayarit,NORTH_AMERICA
Mozambique,,
Venezuela (Bolivarian Republic of),Carabobo,SOUTH_AMERICA
"Tanzania, United Republic of",Lindi,AFRICA
Mexico,baie de californie,
France,Provence-Alpes-Côte d'Azur,EUROPE
Indonesia,,ASIA
South Africa,,AFRICA
United States of America,New York,
Paraguay,Paraguarí,SOUTH_AMERICA
Israel,,
Australia,Victoria,OCEANIA
Australia,South Australia,OCEANIA
Norfolk Island,Norfolk Island,OCEANIA
New Zealand,Northland,OCEANIA
Chinese Taipei,Kaohsiung,ASIA
Japan,,
India,Andaman and Nicobar,ASIA
Mauritius,,
New Zealand,Canterbury,
Oman,Dhofar,
New Zealand,Chatham Islands,OCEANIA
New Zealand,Nelson,
United States of America,Oregon,NORTH_AMERICA
Denmark,Nordjylland,EUROPE
Norway,,
Dominica,,
Norway,,EUROPE
Portugal,,
Antarctica,,ANTARCTICA
Denmark,,EUROPE
Denmark,Syddanmark,EUROPE
United Kingdom of Great Britain and Northern Ireland,England,
Norway,Norskekysten hav N,
Guam,Yona,OCEANIA
Germany,Schleswig-Holstein,
Japan,,ASIA
Dominica,Saint Peter,
Portugal,,AFRICA
Martinique,,
Chile,,SOUTH_AMERICA
Palau,Koror,OCEANIA
Sao Tome and Principe,Príncipe,AFRICA
Puerto Rico,Quebradillas,NORTH_AMERICA
Cayman Islands,Cayman Brac,
Seychelles,Port Glaud,AFRICA
Seychelles,La Digue and Inner Islands,AFRICA
Mauritius,Rivière du Rempart,AFRICA
Réunion,Saint-Pierre,AFRICA
French Polynesia,Îles du Vent,OCEANIA
Mauritius,Moka,AFRICA
Puerto Rico,,
Turks and Caicos Islands,Grand Turk,NORTH_AMERICA
Jamaica,Saint Thomas,NORTH_AMERICA
Bermuda,Paget,NORTH_AMERICA
Mayotte,Pamandzi,AFRICA
Indonesia,Bali,ASIA
Seychelles,Cascade,AFRICA
American Samoa,Manu'a,OCEANIA
Bahamas,Exuma,NORTH_AMERICA
Bermuda,Southampton,NORTH_AMERICA
Mayotte,Dembeni,AFRICA
Réunion,Saint-Denis,AFRICA
Northern Mariana Islands,Rota,OCEANIA
Madagascar,Diana,AFRICA
Paraguay,Canindeyú,SOUTH_AMERICA
Chile,Araucanía,SOUTH_AMERICA
"Saint Helena, Ascension and Tristan da Cunha",Ascension,AFRICA
"Saint Helena, Ascension and Tristan da Cunha",Ascension,ANTARCTICA
"Saint Helena, Ascension and Tristan da Cunha",,AFRICA
Puerto Rico,Vieques,NORTH_AMERICA
Saint Barthélemy,Sous le Vent,NORTH_AMERICA
Saint Martin (French part),,NORTH_AMERICA
Virgin Islands (U.S.),St. Thomas,
Virgin Islands (U.S.),Saint Croix,NORTH_AMERICA
Dominican Republic,Samaná,NORTH_AMERICA
Bahamas,San Salvador,NORTH_AMERICA
Saint Kitts and Nevis,Saint James Windward,NORTH_AMERICA
Bahamas,Biminis,NORTH_AMERICA
Sint Maarten (Dutch part),,NORTH_AMERICA
Saint Barthélemy,Au Vent,NORTH_AMERICA
Cayman Islands,Sister Islands,NORTH_AMERICA
Puerto Rico,San Sebastián,NORTH_AMERICA
Virgin Islands (British),Tortola,NORTH_AMERICA
Cayman Islands,Little Cayman,NORTH_AMERICA
Saint Kitts and Nevis,Trinity Palmetto Point,NORTH_AMERICA
Brazil,Sp,SOUTH_AMERICA
Colombia,Caquetá,SOUTH_AMERICA
French Guiana,Marowijne,SOUTH_AMERICA
Bolivia (Plurinational State of),Pando,SOUTH_AMERICA
Brazil,Alto Paraná,SOUTH_AMERICA
Brazil,Río de Janeiro,SOUTH_AMERICA
Colombia,Vichada,SOUTH_AMERICA
Colombia,Guaviare,SOUTH_AMERICA
Colombia,Nariño,SOUTH_AMERICA
Colombia,Cauca,SOUTH_AMERICA
Colombia,Guainía,SOUTH_AMERICA
Ecuador,Tungurahua,SOUTH_AMERICA
Ecuador,Morona Santiago,SOUTH_AMERICA
Iceland,Rio Grande do Norte,SOUTH_AMERICA
Brazil,Rio de Janeiro,
Brazil,São Paulo,
Nicaragua,Río San Juan,NORTH_AMERICA
Guatemala,Alta Verapaz,NORTH_AMERICA
Trinidad and Tobago,Tunapuna/Piarco,SOUTH_AMERICA
Guatemala,San Marcos,NORTH_AMERICA
Uruguay,Rocha,
Brazil,Sp,
Panama,,
Argentina,Río Negro,
Bahamas,Black Point,NORTH_AMERICA
Cabo Verde,Boa Vista,AFRICA
Nicaragua,Atlántico Sur,NORTH_AMERICA
"Bonaire, Sint Eustatius and Saba",Saba,SOUTH_AMERICA
Puerto Rico,Santa Isabel,NORTH_AMERICA
Brazil,Beni,SOUTH_AMERICA
Colombia,Casanare,SOUTH_AMERICA
Colombia,Boyacá,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Barinas,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Aragua,SOUTH_AMERICA
Venezuela (Bolivarian Republic of),Yaracuy,SOUTH_AMERICA
Colombia,Atlántico,SOUTH_AMERICA
Anguilla,,NORTH_AMERICA
Virgin Islands (British),Virgin Gorda,NORTH_AMERICA
Colombia,Córdoba,SOUTH_AMERICA
Argentina,Alto Paraná,SOUTH_AMERICA
Brazil,Santa Catarina,
Mexico,Jalisco,NORTH_AMERICA
Cabo Verde,Tarrafal de São Nicolau,
Australia,Victoria,
Cook Islands,,OCEANIA
Haiti,Sud,NORTH_AMERICA
Ecuador,Santa Elena,
Tuvalu,,
China,,
Bermuda,Hamilton Municipality,NORTH_AMERICA
Ecuador,,
Indonesia,Lampung,
Colombia,Valle del Cauca,
Cameroon,Sud,AFRICA
India,Tamil Nadu,ASIA
Colombia,Chocó,
Niue,,
Portugal,Região Autónoma dos Açores,
Kenya,Kilifi,AFRICA
Réunion,Saint-Benoît,
Indonesia,Lampung,ASIA
Costa Rica,Provincia Puntarenas,NORTH_AMERICA
Spain,Asturias,EUROPE
Portugal,Região Autónoma da Madeira,
Portugal,Região Autónoma da Madeira,AFRICA
Nicaragua,Granada,NORTH_AMERICA
Canada,British Columbia,NORTH_AMERICA
Curaçao,Curaçao,SOUTH_AMERICA
Colombia,Sucre,SOUTH_AMERICA
El Salvador,Usulután,NORTH_AMERICA
El Salvador,Ahuachapán,NORTH_AMERICA
Ecuador,Cotopaxi,SOUTH_AMERICA
Panama,Chiriquí,NORTH_AMERICA
United States of America,Tennessee,NORTH_AMERICA
Brazil,São Paulo State,SOUTH_AMERICA
Mexico,Nuevo León,NORTH_AMERICA
Brazil,Estado de Sao Paulo,
Norfolk Island,,OCEANIA
Chile,Valparaíso,OCEANIA
United States Minor Outlying Islands,Wake,
United States Minor Outlying Islands,Wake,OCEANIA
United States of America,Midway,OCEANIA
Micronesia (Federated States of),Yap,OCEANIA
Timor-Leste,Dili,ASIA
Guyana,East Berbice-Corentyne,SOUTH_AMERICA
Ecuador,Putumayo,SOUTH_AMERICA
Argentina,Santiago del Estero,SOUTH_AMERICA
Colombia,Apure,SOUTH_AMERICA
Ecuador,Nariño,SOUTH_AMERICA
Uruguay,Treinta y Tres,SOUTH_AMERICA
Uruguay,Lavalleja,SOUTH_AMERICA
Paraguay,Central,SOUTH_AMERICA
Argentina,Asunción,SOUTH_AMERICA
Colombia,Norte de Santander,SOUTH_AMERICA
Bahamas,Spanish Wells,NORTH_AMERICA
Bahamas,Berry Islands,NORTH_AMERICA
Dominican Republic,Hato Mayor,NORTH_AMERICA
Puerto Rico,Aguadilla,NORTH_AMERICA
Cuba,Isla de la Juventud,NORTH_AMERICA
Saint Kitts and Nevis,Saint George Basseterre,NORTH_AMERICA
Antigua and Barbuda,Saint Mary,NORTH_AMERICA
Brazil,Corrientes,SOUTH_AMERICA
Brazil,Aragua,SOUTH_AMERICA
Saudi Arabia,Makkah,ASIA
Costa Rica,Guanacaste,
Indonesia,Papua Barat,OCEANIA
New Zealand,Waikato,OCEANIA
Egypt,Al Bahr al Ahmar,
Panama,Veraguas,NORTH_AMERICA
Indonesia,Nusa Tenggara Timur,ASIA
Fiji,,
Timor-Leste,Bobonaro,ASIA
Myanmar,Tanintharyi,
Indonesia,,OCEANIA
Maldives,,
Israel,HaDarom,ASIA
Ecuador,Manabi,
Timor-Leste,,
Colombia,Amazonas,
Mexico,Guerrero,
Gabon,Estuaire,AFRICA
New Zealand,Bay of Plenty,OCEANIA
Canada,Nova Scotia,NORTH_AMERICA
