nome_cientifico,nome_popular
Notholebias minimus,Peixe-anual
Taoniscus nanus,
Aegla meloi,
Vireo gracilirostris,
Phylloscartes roquettei,
Melanophryniscus setiba,
Hemiancistrus megalopteryx,Cascudo
Psophia viridis,
Aegla leachi,
Bachia psamophila,
Sciades parkeri,
Spintherobolus ankoseion,Piabinha
Poecilotriccus albifacies,
Bachia didactyla,
Leopardus geoffroyi,Gato-do-mato-grande
Amphisbaena leucocephala,Cobra-de-duas-cabeças
Melanophryniscus klappenbachi,
Leopardus tigrinus,Gato-do-mato
Calyptura cristata,
Gymnodactylus vanzolinii,
Lutjanus purpureus,Pargo-cachucho
Aegla microphthalma,
Pyrrhura griseipectus,
Paratelmatobius lutzii,
Glaucis dohrnii,
Zapteryx brevirostris,Banjo
Asthenes luizae,
Cardisoma guanhumi,
Melanorivulus paracatuensis,Peixe-anual
Heteragrion mantiqueirae,
Malacoctenus brunoi,Macaquinho-de-Trindade
Sporophila beltoni,
Amphisbaena sanctaeritae,Cobra-de-duas-cabeças
Isurus oxyrinchus,
Hyporthodus niveatus,
Hylexetastes uniformis,
Momotus momota marcgravianus,
Xenops minutus alagoanus,
Hypsolebias gardneri,
Maratecoara formosa,Peixe-anual
Steindachneridion doceanum,Surubim-do-doce
Rhamdia enfurnada,Jundia
Aylacostoma tenuilabris,
Calidris pusilla,
Ischnocnema manezinho,
Cambeva tropeiro,Charutinho
Brachycephalus quiririensis,
Lasiocyano sazimai,
Anodontites ferrarisii,
Ituglanis bambui,Bagrinho-de-caverna
Carcharhinus perezi,Cação Bico-fino
Procnias albus wallacei,
Rhinella casconi,
Kentropyx viridistriga,
Pituna brevirostrata,Peixe-anual
Phyllomys unicolor,
Tropidurus erythrocephalus,
Tropidurus callathelys,
Phallotorynus fasciolatus,Guaru-listrado-da-cabeceira
Sympterygia bonapartii,
Mycteroperca acutirostris,
Garcialebias adloffi,Peixe-anual
Megalobulimus lopesi,
Eigenmannia vicentespelaea,Ituí-de-caverna
Thoropa lutzi,
Parotocinclus spilosoma,Cascudinho de pinta dourada
Cacicus koepckeae,
Ituglanis mambai,
Glaucomastix abaetensis,Lagartinho-de-Abaeté
Phaethon aethereus,
Nothura minor,
Carcharhinus falciformis,
Carcharhinus plumbeus,
Pteronura brasiliensis,Ariranha
Xiphocolaptes falcirostris,
Matilebias ibicuiensis,Peixe-anual
Archolaemus ferreirai,
Melanorivulus egens,Peixe-anual
Nemosia rourei,
Sphyrna lewini,
Mussismilia braziliensis,Coral Cérebro da Bahia
Dichotomius eucranioides,
Alouatta ululata,Guariba-da-Caatinga
Leposoma sinepollex,
Lepidothrix iris iris,
Pterodroma arminjoniana,
Plesiophysa dolichomastix,
Amphisbaena ridleyi,
Micrastur mintoni,
Leopardus wiedii,
Sternarchorhynchus mareikeae,Sarapó
Columbina cyanopis,
Melanophryniscus cambaraensis,
Harttia panara,
Marinussaurus curupira,
Calidris subruficollis,
Carcharias taurus,
Inia geoffrensis,Boto
Potamolithus troglobius,Caramujo-de-caverna
Baryancistrus niveatus,Acari
Xiphorhynchus guttatoides gracilirostris,
Canthon quadripunctatus,
Pulsatrix perspicillata pulsatrix,
Pontoporia blainvillei,Toninha
Herpailurus yagouaroundi,Gato Azul
Boana buriti,
Camelobaetidius spinosus,
Enyalius brasiliensis,
Harttia villasboas,
Thripophaga macroura,
Sterna hirundinacea,
Pyrilia vulturina,
Alopias vulpinus,Cação-pena
Pampasatyrus glaucope glaucope,
Hypostomus subcarinatus,Cascudo
Atractus thalesdelemai,
Pseudobatos lentiginosus,
Balistes capriscus,
Nematolebias catimbau,Peixe-anual
Cerradomys goytaca,
Amphisbaena uroxena,Cobra-de-duas-cabeças
Tropidurus chromatops,
Cycloramphus diringshofeni,
Formicivora grantsaui,
Mobula mobular,Jamanta
Calyptommatus sinebrachiatus,
Hypocnemis striata,
Hyphessobrycon flammeus,Tetra-vermelho
Ituglanis epikarsticus,Bagrinho-de-caverna
Squatina argentina,Cação Anjo de Asa Longa
Hypsolebias trilineatus,Peixe-anual
Ololygon alcatraz,
Megalops atlanticus,
Alouatta guariba,Barbado
Hypocnemis ochrogyna,
Xipholena atropurpurea,
Nyctimantis pomba,Perereca-de-capacete-do-Rio-Pomba
Formicivora iheringi,
Liolaemus lutzae,
Miroculis stenopterus,
Liolaemus arambarensis,
Sternarchorhynchus jaimei,Sarapó
Apostolepis gaboi,Cobra-rainha das dunas
Garcialebias pelotapes,
Ischnocnema karst,
Mimagoniates lateralis,Lambari-azul-listrado
Cetorhinus maximus,
Balaenoptera physalus,Baleia-comum
Cambeva crassicaudata,Candiru
Hypsolebias fasciatus,Peixe-anual
Hyporthodus flavolimbatus,
Neopelma aurifrons,
Prochilodus vimboides,Grumatã
Alopias superciliosus,Cação-raposa-olho-grande
Rioraja agassizii,Raia-santa
Neoplecostomus botucatu,Cascudo
Hypsolebias notatus,Peixe-anual
Amphisbaena carli,
Euparkerella robusta,
Capito dayi,
Grallaria varia intercedens,
Negaprion brevirostris,
Bathygobius brasiliensis,Bimba de Nego
Potamolithus karsticus,Caramujo-de-caverna
Tangara fastuosa,
Tolypeutes tricinctus,Tatu-Bola
Pyrrhura molinae,
Leporinus guttatus,Aracu
Mycteroperca bonaci,
Cambeva igobi,Candiru
Melanophryniscus formosus,
Ischnocnema garciai,
Glossoscolex lutocolus,Minhoca
Ituglanis ramiroi,Bagrinho-de-caverna
Sporophila melanogaster,Caboclinho-de-barriga-preta
Leptopanchax opalescens,Peixe-anual
Brycon vermelha,Vermelha
Ditaxodon taeniatus,Parelheira-listrada do campo
Onychorhynchus swainsoni,
Anablepsoides cearensis,
Dysithamnus plumbeus,
Brycon orbignyanus,Piracanjuba
Parotocinclus seridoensis,
Aegla camargoi,
Glaucomastix itabaianensis,
Touit melanonotus,
Anabazenops dorsalis,
Amphisbaena bahiana,Cobra-de-duas-cabeças
Arremonops conirostris,
Baryancistrus longipinnis,Acari
Balaenoptera musculus,Baleia-azul
Chrysocyon brachyurus,Guará
Stenocercus azureus,
Anomaloglossus tepequem,
Saimiri vanzolinii,Macaco-de-cheiro
Ateles chamek,Coatá-preto
Lonchophylla dekeyseri,
Haasica balzani,
Aegla leptochela,
Camelobaetidius maranhensis,
Penelope pileata,
Touit surdus,
Cynolebias parnaibensis,
Melanophryniscus biancae,
Ololygon faivovichi,
Crax fasciolata pinima,
Prognathodes obliquus,
Myliobatis ridens,
Psophia dextralis,
Plecturocebus brunneus,Zogue-zogue
Matilebias cyaneus,Peixe-anual
Hypanus marianae,Raia-mariquita
Mycteroperca interstitialis,Badejo-amarelo
Cynolebias elegans,
Brasiliscincus caissara,Calango-liso-da-restinga
Melanophryniscus macrogranulosus,
Hypsolebias ghisolfii,Peixe-anual
Rhegmatorhina gymnops,
Bothrops otavioi,Jararaca-de-Vitória
Lonchophylla bokermanni,
Megalobulimus proclivis,
Simpsonichthys punctulatus,Peixe-anual
Fimoscolex sporadochaetus,Minhoca-branca
Listrura nematopteryx,
Mobula tarapacana,Jamanta
Acrolebias carvalhoi,
Lophornis gouldii,
Colibri delphinae greenewalti,
Sphyrna gilberti,
Garcialebias botocudo,
Potamotrygon marquesi,
Hypsolebias picturatus,Peixe-anual
Potamotrygon leopoldi,
Simpsonichthys parallelus,Peixe-anual
Hypsolebias macaubensis,Peixe-anual
Ctenomys ibicuiensis,Tuco-tuco do Ibicuí
Hypancistrus zebra,Cascudo-zebra-imperial
Notholebias fractifasciatus,Peixe-anual
Stegastes rocasensis,Donzela-de-Rocas
Cypholebias cinereus,
Campellolebias brucei,Peixe-anual
Heterodactylus lundii,
Dichotomius mysticus,
Blastocerus dichotomus,Cervo do Pantanal
Hasemania maxillaris,Lambari
Synallaxis kollari,
Gonyostomus insularis,
Leptopanchax itanhaensis,Peixe-anual
Conopophaga cearae,
Notorynchus cepedianus,
Cnipodectes superrufus,
Hippocampus reidi,Cavalo-marinho
Scarus trispinosus,Bico Verde
Campylopterus calcirupicola,Asa-de-sabre-da-mata-seca
Crossodactylus dispar,
Hypsolebias fulminantis,Peixe-anual
Phalloptychus iheringii,Barrigudinho-riscado
Typhochlaena seladonia,
Lepidocharax diamantina,
Parides ascanius,
Matilebias paucisquama,Peixe-anual
Myrmoderus ruficauda,
Tayassu pecari,Porcão
Epiperipatus ohausi,
Cycloramphus faustoi,
Trigonectes strigabundus,
Hypsolebias alternatus,Peixe-anual
Matilebias camaquensis,
Hippocampus erectus,Cavalinho-do-mar
Atractus caete,Cobra-da-terra da floresta
Sparisoma frondosum,Bobo
Hypsolebias hamadryades,
Amphisbaena persephone,
Physalaemus soaresi,
Psilops mucugensis,
Calyptommatus leiolepis,
Alexandresaurus camacan,
Procellaria aequinoctialis,Pardela-preta
Elacatinus figaro,
Pyrrhura perlata,
Alouatta guariba clamitans,Barbado
Anodorhynchus hyacinthinus,
Aegla cavernicola,
Thalassarche chlororhynchos,
Granatellus pelzelni paraensis,
Alouatta belzebul,Guariba-de-mãos-ruivas
Trinomys yonenagae,
Lepidochelys olivacea,Tartaruga-comum
Pterodroma incerta,
Otophidium chickcharney,
Austrolebias ephemerus,
Garcialebias lourenciano,
Hypsolebias gibberatus,Peixe-anual
Pteroglossus bitorquatus bitorquatus,
Hypsolebias flammeus,Peixe-anual
Amphisbaena heathi,Cobra-de-duas-cabeças
Carcharhinus acronotus,
Hyphessobrycon duragenys,Lambari
Scartella poiti,
Ololygon peixotoi,
Leposoma nanodactylus,
Hypsolebias mediopapillatus,Peixe-anual
Guaruba guarouba,
Celeus flavus subflavus,
Thunnus thynnus,
Trichogenes claviger,
Pimelodella kronei,Bagre-cego-de-iporanga
Hollandichthys taramandahy,Lambari-listrado
Xenurolebias myersi,Peixe-anual
Brachycephalus mirissimus,
Monasa morphoeus morphoeus,
Antilophia bokermanni,
Enyalius erythroceneus,Papa-vento-da-chapada
Iodopleura pipra pipra,
Cyclopes rufus,Tamanduaí vermelho
Hypsolebias longignatus,Peixe-anual
Laterallus xenopterus,
Coleodactylus natalensis,
Coryphistera alaudina,
Proceratophrys ararype,
Leposternon mineiro,
Bothrops itapetiningae,
Ateles marginatus,Cuamba
Rhipidomys cariri,
Myrmotherula urosticta,
Melanorivulus rutilicaudus,
Pempheris gasparinii,Piaba-de-Trindade
