nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Chelonoidis denticulatus,Jabuti,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,repteis
Acyrtus pauciradiatus,Ventosa-de-Noronha,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Acyrtus,peixes
Prochilodus britskii,Curimatã,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,peixes
Hyalyris leptalina leptalina,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hyalyris,insetos
Sartor tucuruiensis,Aracu-boca-pra-cima,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Sartor,peixes
Hypsolebias janaubensis,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Chaimowiczia obybytyra,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Chaimowiczia,crustaceos
Pyrrhura leucotis,periquitão-d'orelhas-brancas,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Characidium onca,,Animalia,Chordata,Actinopterygii,Characiformes,Crenuchidae,Characidium,peixes
Oxyruncus cristatus tocantinsi,,Animalia,Chordata,Aves,Passeriformes,Oxyruncidae,Oxyruncus,aves
Narcine brasiliensis,Arraia Treme-treme,Animalia,Chordata,Elasmobranchii,Torpediniformes,Narcinidae,Narcine,peixes
Rhinoptera brasiliensis,Raia-ticonha-brasileira,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Rhinopteridae,Rhinoptera,peixes
Notholebias minimus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Notholebias,peixes
Arrhopalites alambariensis,,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Taoniscus nanus,Codorninha,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Taoniscus,aves
Aegla meloi,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Pararrhopalites sideroicus,,Animalia,Arthropoda,Entognatha,Symphypleona,Sminthuridae,Pararrhopalites,outros
Vireo gracilirostris,juruviara-de-noronha,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,aves
Phylloscartes roquettei,cara-dourada,Animalia,Chordata,Aves,Passeriformes,Rhynchocyclidae,Phylloscartes,aves
Litoblatta camargoi,,Animalia,Arthropoda,Insecta,Blattodea,Blattellidae,Litoblatta,insetos
Melanophryniscus setiba,,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Hemiancistrus megalopteryx,Cascudo,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hemiancistrus,peixes
Psophia viridis,Jacamim-preto,Animalia,Chordata,Aves,Gruiformes,Psophiidae,Psophia,aves
Aegla leachi,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Bachia psamophila,Lagarto-sem-Pata,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Bachia,repteis
Sciades parkeri,Gurijuba,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Sciades,peixes
Iansaoniscus leilae,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Pudeoniscidae,Iansaoniscus,crustaceos
Spintherobolus ankoseion,Piabinha,Animalia,Chordata,Actinopterygii,Characiformes,Spintherobolidae,Spintherobolus,peixes
Poecilotriccus albifacies,falso-tódi-de-faces-brancas,Animalia,Chordata,Aves,Passeriformes,Rhynchocyclidae,Poecilotriccus,aves
Bachia didactyla,Lagarto-sem-Pata,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Bachia,repteis
Spelaeogammarus sanctus,,Animalia,Arthropoda,Malacostraca,Amphipoda,Artesiidae,Spelaeogammarus,crustaceos
Leopardus geoffroyi,Gato-do-mato-grande,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Amphisbaena leucocephala,Cobra-de-duas-cabeças,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Melanophryniscus klappenbachi,,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Troglobius brasiliensis,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Troglobius,outros
Eufriesea pyrrhopyga,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Eufriesea,insetos
Leopardus tigrinus,Gato-do-mato,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Calyptura cristata,tietê-de-coroa,Animalia,Chordata,Aves,Passeriformes,Platyrinchidae,Calyptura,aves
Gymnodactylus vanzolinii,,Animalia,Chordata,Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,repteis
Lutjanus purpureus,Pargo-cachucho,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,peixes
Aegla microphthalma,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Racekiela cavernicola,,Animalia,Porifera,Demospongiae,Spongillida,Spongillidae,Racekiela,outros
Pyrrhura griseipectus,Tiriba-de-peito-cinza,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Dendrocincla taunayi,,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Dendrocincla,aves
Paratelmatobius lutzii,,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Paratelmatobius,anfibios
Glaucis dohrnii,balança-rabo-canela,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Glaucis,aves
Zapteryx brevirostris,Banjo,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Trygonorhinidae,Zapteryx,peixes
Asthenes luizae,cesteiro-do-cipó,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Asthenes,aves
Cardisoma guanhumi,Caranguejo-azul,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Cardisoma,crustaceos
Melanorivulus paracatuensis,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Heteragrion mantiqueirae,libélula,Animalia,Arthropoda,Insecta,Odonata,Megapodagrionidae,Heteragrion,insetos
Malacoctenus brunoi,Macaquinho-de-Trindade,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Malacoctenus,peixes
Girardia arenicola,,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Girardia,outros
Sporophila beltoni,patativa-tropeira,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,aves
Paracerura gandarela,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Isotomidae,Paracerura,outros
Amphisbaena sanctaeritae,Cobra-de-duas-cabeças,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Isurus oxyrinchus,Marracho-azul,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Isurus,peixes
Numenius hudsonicus,maçarico-de-bico-torto,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,aves
Wallaciia urosema,,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Wallaciia,peixes
Circoniscus buckupi,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Scleropactidae,Circoniscus,crustaceos
Hyporthodus niveatus,Cherne,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Hyporthodus,peixes
Hylexetastes uniformis,arapaçu-uniforme,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Hylexetastes,aves
Momotus momota marcgravianus,udu-de-coroa-azul-do-nordeste,Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,aves
Xenops minutus alagoanus,,Animalia,Chordata,Aves,Passeriformes,Xenopidae,Xenops,aves
Hypsolebias gardneri,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Maratecoara formosa,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Maratecoara,peixes
Steindachneridion doceanum,Surubim-do-doce,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Steindachneridion,peixes
Rhamdia enfurnada,Jundia,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,peixes
Aylacostoma tenuilabris,,Animalia,Mollusca,Gastropoda,Caenogastropoda,Thiaridae,Aylacostoma,moluscos
Tisentnops onix,,Animalia,Arthropoda,Arachnida,Araneae,Caponiidae,Tisentnops,aracnideos
Calidris pusilla,maçarico-rasteirinho,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,aves
Scada karschina delicata,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Scada,insetos
Ischnocnema manezinho,Rã-Manezinho,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Ischnocnema,anfibios
Cambeva tropeiro,Charutinho,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva,peixes
Brachycephalus quiririensis,,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Brachycephalus,anfibios
Lasiocyano sazimai,,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Lasiocyano,aracnideos
Potiberaba porakuara,,Animalia,Arthropoda,Malacostraca,Amphipoda,Mesogammaridae,Potiberaba,crustaceos
Eurycheilichthys apocremnus,,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Eurycheilichthys,peixes
Anodontites ferrarisii,Bivalve,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Anodontites,moluscos
Ituglanis bambui,Bagrinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Carcharhinus perezi,Cação Bico-fino,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Procnias albus wallacei,,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Procnias,aves
Tmesiphantes hypogeus,,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Tmesiphantes,aracnideos
Pyrrhura pallescens,Tiribas,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Rhinella casconi,,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,anfibios
Kentropyx viridistriga,Calango,Animalia,Chordata,Reptilia,Squamata,Teiidae,Kentropyx,repteis
Albinapis gracilis,,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Albinapis,insetos
Pituna brevirostrata,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Pituna,peixes
Phyllomys unicolor,Rato-da-árvore,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Phyllomys,mamiferos
Tropidurus erythrocephalus,Calango,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,repteis
Tropidurus callathelys,Calango,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,repteis
Phallotorynus fasciolatus,Guaru-listrado-da-cabeceira,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phallotorynus,peixes
Sympterygia bonapartii,,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia,peixes
Mycteroperca acutirostris,Badejo-mira,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Mycteroperca,peixes
Garcialebias adloffi,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Megalobulimus lopesi,Árua-do-Mato,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,moluscos
Eigenmannia vicentespelaea,Ituí-de-caverna,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Eigenmannia,peixes
Thoropa lutzi,,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Thoropa,anfibios
Megascops alagoensis,corujinha-de-alagoas,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,aves
Psophia interjecta,Jacamins,Animalia,Chordata,Aves,Gruiformes,Psophiidae,Psophia,aves
Parotocinclus spilosoma,Cascudinho de pinta dourada,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parotocinclus,peixes
Cacicus koepckeae,cacique-de-koepcke,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,aves
Ituglanis mambai,bagrinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Glaucomastix abaetensis,Lagartinho-de-Abaeté,Animalia,Chordata,Reptilia,Squamata,Teiidae,Glaucomastix,repteis
Schizogenius ocellatus,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Schizogenius,insetos
Phaethon aethereus,Rabijunco,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,aves
Charinus asturius,,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Nothura minor,codorna-mineira,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothura,aves
Carcharhinus falciformis,Marracho-luzidio,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Carcharhinus plumbeus,Tubarão-corre-costa,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Pteronura brasiliensis,Ariranha,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pteronura,mamiferos
Xiphocolaptes falcirostris,arapaçu-do-nordeste,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Xiphocolaptes,aves
Cyanocyclas guahybensis,Bivalve,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Cyanocyclas,moluscos
Matilebias ibicuiensis,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Archolaemus ferreirai,,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,Archolaemus,peixes
Melanorivulus egens,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Nemosia rourei,saíra-apunhalada,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Nemosia,aves
Sphyrna lewini,Cambeva,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Mussismilia braziliensis,Coral Cérebro da Bahia,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Mussismilia,outros
Dichotomius eucranioides,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dichotomius,insetos
Linckia guildingi,Estrela-cometa,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia,outros
Alouatta ululata,Guariba-da-Caatinga,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Leposoma sinepollex,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Leposoma,repteis
Eudolichotis lacerta,,Animalia,Mollusca,Gastropoda,Pulmonata,Bulimulidae,Eudolichotis,moluscos
Lepidothrix iris iris,,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,aves
Pterodroma arminjoniana,Freira da Trindade,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,aves
Mirinaba curytibana,,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Mirinaba,moluscos
Plesiophysa dolichomastix,,Animalia,Mollusca,Gastropoda,Pulmonata,Planorbidae,Plesiophysa,moluscos
Troglorhopalurus translucidus,,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Troglorhopalurus,aracnideos
Ochyrocera ritxoo,,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,aracnideos
Amphisbaena ridleyi,Cobra-Cega,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Phaethornis margarettae camargoi,Rabo-brancos,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,aves
Arrhopalites heteroculatus,,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Micrastur mintoni,falcão-críptico,Animalia,Chordata,Aves,Falconiformes,Falconidae,Micrastur,aves
Leopardus wiedii,Gato-maracajá,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Eufriesea brasilianorum,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Eufriesea,insetos
Sternarchorhynchus mareikeae,Sarapó,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Columbina cyanopis,rolinha-d'olho-azul,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,aves
Melanophryniscus cambaraensis,,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Harttia panara,,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Harttia,peixes
Marinussaurus curupira,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Marinussaurus,repteis
Pseudosinella brumadinhoensis,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Calidris subruficollis,maçarico-acanelado,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,aves
Otaria flavescens,Leão marinho sul-americano,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Otaria,mamiferos
Carcharias taurus,Tubarão-,Animalia,Chordata,Elasmobranchii,Lamniformes,Carchariidae,Carcharias,peixes
Inia geoffrensis,Boto,Animalia,Chordata,Mammalia,Artiodactyla,Iniidae,Inia,mamiferos
Potamolithus troglobius,Caramujo-de-caverna,Animalia,Mollusca,Gastropoda,Caenogastropoda,Hydrobiidae,Potamolithus,moluscos
Baryancistrus niveatus,Acari,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Baryancistrus,peixes
Xiphorhynchus guttatoides gracilirostris,arapaçu-de-lafresnaye,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Xiphorhynchus,aves
Canthon quadripunctatus,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,insetos
Iansaoniscus paulae,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Pudeoniscidae,Iansaoniscus,crustaceos
Pulsatrix perspicillata pulsatrix,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Pulsatrix,aves
Pontoporia blainvillei,Toninha,Animalia,Chordata,Mammalia,Artiodactyla,Pontoporiidae,Pontoporia,mamiferos
Herpailurus yagouaroundi,Gato Azul,Animalia,Chordata,Mammalia,Carnivora,Felidae,Herpailurus,mamiferos
Boana buriti,Perereca-Buriti,Animalia,Chordata,Amphibia,Anura,Hylidae,Boana,anfibios
Camelobaetidius spinosus,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,insetos
Enyalius brasiliensis,Camaleãozinho,Animalia,Chordata,Reptilia,Squamata,Leiosauridae,Enyalius,repteis
Harttia villasboas,,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Harttia,peixes
Thripophaga macroura,cauda-suave-estriado,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Thripophaga,aves
Sterna hirundinacea,andorinha-do-mar-sul-americana,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,aves
Pyrilia vulturina,curica-urubu,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrilia,aves
Alopias vulpinus,Cação-pena,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,peixes
Kiautagrion acutum,,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Kiautagrion,insetos
Partamona littoralis,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Partamona,insetos
Ferricixius michaeli,,Animalia,Arthropoda,Insecta,Hemiptera,Cixiidae,Ferricixius,insetos
Charinus caatingae,,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Pampasatyrus glaucope glaucope,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pampasatyrus,insetos
Hypostomus subcarinatus,Cascudo,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,peixes
Atractus thalesdelemai,Cobra-da-Terra-do-Sul,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Atractus,repteis
Pseudobatos lentiginosus,Raia-viola-do-Atlântico,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Pseudobatos,peixes
Balistes capriscus,Cangulo-branco,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistes,peixes
Nematolebias catimbau,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Nematolebias,peixes
Copelatus cessaima,,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Copelatus,insetos
Cerradomys goytaca,Rato-Goytacá,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cerradomys,mamiferos
Amphisbaena uroxena,Cobra-de-duas-cabeças,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Odontostomus dautzenbergianus,,Animalia,Mollusca,Gastropoda,Pulmonata,Odontostomidae,Odontostomus,moluscos
Tropidurus chromatops,Calango,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,repteis
Cycloramphus diringshofeni,,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Cycloramphus,anfibios
Cayenniola albaserrata,,Animalia,Arthropoda,Diplopoda,Polydesmida,Chelodesmidae,Cayenniola,outros
Formicivora grantsaui,formigueirinho-do-sincorá,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,aves
Mobula mobular,Jamanta,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,peixes
Pseudosinella cearensis,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Calyptommatus sinebrachiatus,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Calyptommatus,repteis
Lycomorphon brasiliense,,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,Lycomorphon,insetos
Dendrexetastes paraensis paraensis,,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Dendrexetastes,aves
Hypocnemis striata,cantador-estriado,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Hypocnemis,aves
Hyphessobrycon flammeus,Tetra-vermelho,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hyphessobrycon,peixes
Ituglanis epikarsticus,Bagrinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Squatina argentina,Cação Anjo de Asa Longa,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,peixes
Hypsolebias trilineatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Ololygon alcatraz,Perereca-de-Alcatrazes,Animalia,Chordata,Amphibia,Anura,Hylidae,Ololygon,anfibios
Megalops atlanticus,Peixe-prata-do-atlântico,Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,peixes
Alouatta guariba,Barbado,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Gonycranaus pluto,opilião,Animalia,Arthropoda,Arachnida,Opiliones,Gerdesiidae,Gonycranaus,aracnideos
Hypocnemis ochrogyna,cantador-ocráceo,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Hypocnemis,aves
Xipholena atropurpurea,Bacacu-de-asa-branca,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Xipholena,aves
Nyctimantis pomba,Perereca-de-capacete-do-Rio-Pomba,Animalia,Chordata,Amphibia,Anura,Hylidae,Nyctimantis,anfibios
Formicivora iheringi,formigueirinho-de-bico-fino,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,aves
Liolaemus lutzae,Lagartinho-Branco-da-Areia,Animalia,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,repteis
Miroculis stenopterus,,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Miroculis,insetos
Liolaemus arambarensis,Lagartixa-das-Dunas,Animalia,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,repteis
Coarazuphium spinifemur,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Sternarchorhynchus jaimei,Sarapó,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Fregata trinitatis,Fragatas,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,aves
Apostolepis gaboi,Cobra-rainha das dunas,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Apostolepis,repteis
Garcialebias pelotapes,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Ischnocnema karst,,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Ischnocnema,anfibios
Hyphessobrycon veredus,,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hyphessobrycon,peixes
Mimagoniates lateralis,Lambari-azul-listrado,Animalia,Chordata,Actinopterygii,Characiformes,Stevardiidae,Mimagoniates,peixes
Cetorhinus maximus,Albafar,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,peixes
Balaenoptera physalus,Baleia-comum,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mamiferos
Cambeva crassicaudata,Candiru,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva,peixes
Hypsolebias fasciatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Hyporthodus flavolimbatus,Cherne amarelo,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Hyporthodus,peixes
Arhysosage cactorum,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Arhysosage,insetos
Neopelma aurifrons,fruxu-baiano,Animalia,Chordata,Aves,Passeriformes,Pipridae,Neopelma,aves
Charinus spelaeus,,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Prochilodus vimboides,Grumatã,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,Prochilodus,peixes
Alopias superciliosus,Cação-raposa-olho-grande,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,peixes
Leptokoenenia thalassophobica,,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Leptokoenenia,aracnideos
Rioraja agassizii,Raia-santa,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Rioraja,peixes
Neoplecostomus botucatu,Cascudo,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Neoplecostomus,peixes
Kinnapotiguara troglobia,,Animalia,Arthropoda,Insecta,Hemiptera,Kinnaridae,Kinnapotiguara,insetos
Hypsolebias notatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Amphisbaena carli,Cobra-Cega,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Euparkerella robusta,,Animalia,Chordata,Amphibia,Anura,Strabomantidae,Euparkerella,anfibios
Capito dayi,capitão-cintado,Animalia,Chordata,Aves,Piciformes,Capitonidae,Capito,aves
